lineid,pointid,theOrder,dist,row,newid,591demorigi,xcoord,ycoord
"1","5677",0.6525259544,2.7327835361,"47","1246",780.9669799800,348685,7395595
"1","1998",0.6521219516,1.0537352741,"19","1245",758.0659790000,346515,7397755
"1","6817",0.6520068021,0.0572898178,"56","1244",788.1970214800,348925,7396345
"1","2454",0.6519252048,3.3100798337,"23","1243",759.4810180700,346955,7398265
"1","2658",0.6506960170,2.2459086185,"24","1242",762.7919921900,347005,7397855
"1","5365",0.6502853820,0.7712859919,"46","1241",770.8229980500,348215,7397395
"1","3046",0.6498803421,2.0208663991,"28","1240",762.0689697300,347315,7398105
"1","1042",0.5565006160,0.7902231129,"10","1063",754.0419921900,345995,7398265
"1","1971",0.5549810720,0.0835973687,"19","1062",761.4069824200,346525,7397665
"1","3589",0.5545785708,0.3676652665,"31","1061",764.2650146500,347565,7398075
"1","1706",0.5543291657,0.2831761212,"16","1060",757.5490112300,346465,7398205
"1","875",0.5536670615,2.6762137958,"9","1059",756.2390136700,345735,7397975
"1","6949",0.5525623729,0.1792740048,"57","1058",787.8369751000,348855,7396465
"1","1518",0.5522399706,1.2763128588,"15","1057",766.5980224600,346255,7398395
"1","117",0.5512292249,0.0727053536,"1","1056",754.7689819300,345155,7398125
"1","654",0.5602498145,0.3821985215,"6","1071",754.2459716800,345735,7398405
"1","3033",0.5600900088,3.2825230806,"28","1070",763.0729980500,347325,7398145
"1","5915",0.5594656378,0.6278837703,"48","1069",772.7500000000,348455,7396705
"1","4883",0.5592499475,0.3404660157,"43","1068",772.1329956100,348045,7396525
"1","5355",0.5589110582,0.0581340054,"46","1067",772.8640136700,348255,7397405
"1","5642",0.5581672066,0.1107948195,"47","1066",782.7739868200,348635,7395505
"1","2438",0.5570367307,3.2487351896,"23","1065",760.4149780300,346955,7398315
"1","6626",0.5568860708,0.5898558489,"55","1064",782.5910034200,348795,7395945
"1","118",0.5633159574,2.0993429331,"1","1079",754.5620117200,345155,7398135
"1","4545",0.5622045946,0.2838955197,"40","1078",768.6220092800,347905,7397555
"1","2195",0.5621767200,0.3617733416,"20","1077",764.8969726600,346665,7398305
"1","1286",0.5620912268,0.2735854957,"13","1076",756.6339721700,346035,7397925
"1","2638",0.5615066376,0.8292456569,"24","1075",765.1010131800,347025,7397805
"1","3298",0.5613609685,1.5603850014,"30","1074",763.6599731400,347425,7397495
"1","385",0.5611349907,1.0813360029,"4","1073",749.2949829100,345385,7398545
"1","6235",0.5607706600,0.0000000000,"52","1072",783.3369751000,348315,7396115
"1","2862",0.5671021494,2.7501524315,"26","1087",758.9359741200,347195,7398185
"1","3826",0.5670404384,2.5099683721,"33","1086",775.4030151400,347645,7397055
"1","5211",0.5663354548,0.4851013453,"45","1085",768.8120117200,348135,7397545
"1","6798",0.5662770454,0.2244336588,"56","1084",790.7399902300,348965,7396335
"1","5643",0.5646469624,0.1193729666,"47","1083",783.1270141600,348635,7395515
"1","1974",0.5646430101,0.0835994442,"19","1082",760.7700195300,346525,7397675
"1","1524",0.5637620693,1.2763149373,"15","1081",766.0330200200,346255,7398385
"1","4097",0.5635650791,0.8058157005,"36","1080",767.8380127000,347765,7397825
"1","4542",0.5392553164,1.3065160032,"40","1031",768.9110107400,347905,7397565
"1","3030",0.5390941175,0.5990819244,"28","1030",764.2609863300,347325,7398155
"1","3284",0.5381845433,4.5897334682,"30","1029",764.6179809600,347415,7397485
"1","5350",0.5370610801,0.2009543378,"46","1028",773.2789917000,348265,7397405
"1","2629",0.5369313803,1.2826121359,"24","1027",766.4920043900,347025,7397785
"1","5635",0.5363338492,0.8930164885,"47","1026",783.2949829100,348615,7395495
"1","4092",0.5359471219,1.1745371976,"36","1025",768.1359863300,347775,7397835
"1","1965",0.5356571958,0.0835932171,"19","1024",763.4760131800,346525,7397645
"1","3588",0.5426550421,0.6716096288,"31","1039",763.6630249000,347565,7398085
"1","5910",0.5414359820,0.1816599827,"48","1038",772.7709960900,348455,7396715
"1","1285",0.5409532074,0.5887375160,"13","1037",757.4199829100,346035,7397915
"1","1517",0.5407178718,1.2763107794,"15","1036",767.1250000000,346255,7398405
"1","114",0.5398461012,1.8131041017,"1","1035",755.0679931600,345145,7398125
"1","3822",0.5398410856,0.6522441067,"33","1034",775.4810180700,347635,7397055
"1","6623",0.5394856205,1.2428851904,"55","1033",783.2780151400,348805,7395945
"1","2437",0.5393907042,2.5834979817,"23","1032",761.2130127000,346955,7398325
"1","2860",0.5471731609,3.5209406050,"26","1047",759.5310058600,347195,7398195
"1","5206",0.5467738861,1.1253173350,"45","1046",768.8140258800,348135,7397555
"1","6230",0.5464858222,1.4634212302,"52","1045",782.7659912100,348305,7396115
"1","652",0.5462408448,1.0784720609,"6","1044",756.2119751000,345735,7398415
"1","4878",0.5459002092,2.3862805857,"43","1043",772.3679809600,348045,7396515
"1","1038",0.5455541760,3.2267790228,"10","1042",754.5629882800,345995,7398275
"1","1966",0.5453191339,0.0835952927,"19","1041",762.2500000000,346525,7397655
"1","5636",0.5437909183,0.5667009745,"47","1040",783.3170166000,348615,7395505
"1","2636",0.5503785711,2.7355479532,"24","1055",765.8200073200,347025,7397795
"1","3926",0.5499687168,0.7673821272,"34","1054",772.8209838900,347655,7396875
"1","6797",0.5497779771,1.0317064688,"56","1053",791.4149780300,348975,7396335
"1","5638",0.5497247511,2.9669521415,"47","1052",783.3150024400,348625,7395505
"1","4096",0.5495247777,0.9336142176,"36","1051",767.5999755900,347775,7397825
"1","3286",0.5480125361,0.5771862264,"30","1050",764.6740112300,347425,7397485
"1","384",0.5474597556,2.0244049155,"4","1049",749.0809936500,345395,7398545
"1","2189",0.5474281045,2.6209154200,"20","1048",764.7230224600,346665,7398315
"1","5358",0.5911712535,2.6426824346,"46","1127",771.9569702100,348245,7397395
"1","3933",0.5891831691,0.5547789301,"34","1126",772.3140258800,347665,7396885
"1","659",0.5889767591,0.2519288384,"6","1125",754.4639892600,345735,7398385
"1","1290",0.5875742967,0.1996492605,"13","1124",756.5579834000,346025,7397925
"1","2644",0.5872164331,0.5164413172,"24","1123",764.2999877900,347015,7397815
"1","4547",0.5869860804,1.1292777254,"40","1122",767.4140014600,347895,7397555
"1","1530",0.5869266621,0.4020242701,"15","1121",764.4210205100,346255,7398365
"1","5651",0.5863773952,0.3555579881,"47","1120",782.2969970700,348655,7395525
"1","6240",0.5943186817,2.2905367352,"52","1135",783.4509887700,348315,7396135
"1","5653",0.5941577631,2.5897543281,"47","1134",781.9329834000,348665,7395525
"1","1981",0.5936288244,0.0836056709,"19","1133",760.5800170900,346525,7397705
"1","3040",0.5932003264,0.9710344482,"28","1132",762.4589843800,347325,7398125
"1","4102",0.5923927335,0.7307478031,"36","1131",767.4790039100,347755,7397815
"1","5212",0.5919290560,1.1525922868,"45","1130",768.1469726600,348125,7397545
"1","877",0.5915638171,1.4542354764,"9","1129",755.4970092800,345735,7397995
"1","6955",0.5915017590,0.6466242619,"57","1128",786.9229736300,348845,7396455
"1","3310",0.5981286533,1.2905732727,"30","1143",762.1160278300,347435,7397515
"1","128",0.5976969195,0.0616261383,"1","1142",753.9340210000,345165,7398155
"1","2446",0.5958284652,0.0486773008,"23","1141",759.8959960900,346955,7398295
"1","3598",0.5954114251,0.0839959693,"31","1140",761.8090210000,347545,7398065
"1","3828",0.5952404490,1.4441529764,"33","1139",775.3950195300,347655,7397055
"1","2201",0.5951221864,0.9401122427,"20","1138",763.7800293000,346665,7398285
"1","5921",0.5950406122,3.6791233349,"48","1137",771.4479980500,348435,7396705
"1","1045",0.5948184183,0.5843981300,"10","1136",753.0040283200,345985,7398255
"1","6630",0.6022801028,0.3483434096,"55","1151",781.4019775400,348775,7395935
"1","5654",0.6003027800,2.9730793056,"47","1150",781.6300048800,348675,7395525
"1","6805",0.6002113301,0.5570900877,"56","1149",789.5449829100,348945,7396335
"1","2646",0.6000857128,0.0074669490,"24","1148",763.7810058600,347015,7397825
"1","390",0.5997328724,0.7461062287,"4","1147",747.9180297900,345385,7398525
"1","4890",0.5997200535,0.7594865359,"43","1146",770.7050170900,348065,7396535
"1","1710",0.5995900568,0.4699458206,"16","1145",756.0300293000,346455,7398195
"1","1533",0.5983597835,0.8383418491,"15","1144",764.0269775400,346255,7398355
"1","3300",0.5728127115,1.9027089700,"30","1095",763.5750122100,347425,7397505
"1","4885",0.5725680136,3.1126052401,"43","1094",772.5659790000,348045,7396535
"1","6950",0.5719816083,1.5790766313,"57","1093",787.3499755900,348845,7396465
"1","5645",0.5716679500,0.2694968355,"47","1092",782.6320190400,348645,7395515
"1","6628",0.5716626379,1.2524077483,"55","1091",782.0310058600,348785,7395945
"1","878",0.5705247431,0.4276027652,"9","1090",756.1290283200,345735,7397985
"1","3931",0.5694544340,0.4821488511,"34","1089",772.1790161100,347655,7396885
"1","3590",0.5689214417,0.8687855114,"31","1088",762.5460205100,347555,7398075
"1","3036",0.5760562470,0.1349653535,"28","1103",762.6829834000,347325,7398135
"1","1526",0.5752841681,1.2763170166,"15","1102",764.6660156200,346255,7398375
"1","1043",0.5748951512,0.6293551483,"10","1101",754.0609741200,345985,7398265
"1","2443",0.5746827572,3.9138659673,"23","1100",760.3049926800,346955,7398305
"1","1973",0.5743049482,0.0836015201,"19","1099",760.7260131800,346525,7397685
"1","656",0.5742999186,1.5506109971,"6","1098",754.2910156200,345735,7398395
"1","2637",0.5740786381,0.6443530540,"24","1097",765.0020141600,347015,7397805
"1","123",0.5736365654,1.0629089993,"1","1096",754.3809814500,345155,7398145
"1","388",0.5806768380,0.3005508156,"4","1111",748.2910156200,345385,7398535
"1","2198",0.5803817861,1.3401293015,"20","1110",764.2020263700,346665,7398295
"1","4101",0.5795109437,1.4157675232,"36","1109",767.4580078100,347765,7397815
"1","5356",0.5783691648,1.0817338510,"46","1108",772.6220092800,348245,7397405
"1","5646",0.5782388105,0.5431778092,"47","1107",782.6530151400,348645,7395525
"1","1707",0.5779750975,0.4628030002,"16","1106",756.9119873000,346455,7398205
"1","5917",0.5777084911,0.5467892564,"48","1105",772.0900268600,348445,7396705
"1","6237",0.5768247566,0.0000000000,"52","1104",783.2449951200,348315,7396125
"1","3302",0.5851712040,1.1215213422,"30","1119",762.9110107400,347435,7397505
"1","124",0.5851155706,1.4494599274,"1","1118",753.9739990200,345155,7398155
"1","6629",0.5850503409,0.3676806009,"55","1117",782.2290039100,348785,7395935
"1","2866",0.5848959758,0.1735409357,"26","1116",758.8900146500,347195,7398175
"1","4886",0.5846180218,0.7434274029,"43","1115",771.2540283200,348055,7396535
"1","6806",0.5840644272,1.0592776209,"56","1114",790.2160034200,348955,7396335
"1","1980",0.5839668863,0.0836035957,"19","1113",760.7760009800,346525,7397695
"1","3596",0.5818151944,0.2329186953,"31","1112",762.9019775400,347555,7398065
"1","6613",0.4876543482,0.4609608318,"55","935",784.8959960900,348825,7395965
"1","1949",0.4873475053,0.0835828392,"19","934",764.5070190400,346525,7397595
"1","2427",0.4865497656,1.0618004062,"23","933",761.8319702100,346955,7398355
"1","5198",0.4864586367,1.0535760822,"45","932",769.3859863300,348145,7397575
"1","2621",0.4858922435,0.2706013516,"24","931",768.2459716800,347025,7397745
"1","2850",0.4851281949,1.4657933760,"26","930",761.2269897500,347195,7398225
"1","3022",0.4849906356,0.3612308674,"28","929",765.6580200200,347355,7398155
"1","6787",0.4841581872,1.0316983058,"56","928",793.8759765600,349015,7396335
"1","101",0.4912859196,0.5746028425,"1","943",755.9979858400,345125,7398105
"1","1697",0.4911712401,1.6032868964,"16","942",758.4739990200,346465,7398235
"1","644",0.4902066226,0.0882264491,"6","941",757.2310180700,345725,7398445
"1","4534",0.4901504902,1.3065189548,"40","940",769.9669799800,347915,7397575
"1","5613",0.4899922092,0.2431538729,"47","939",783.7310180700,348575,7395465
"1","3261",0.4883954585,2.9977554525,"30","938",768.1890258800,347405,7397455
"1","4869",0.4880443905,0.8352285994,"43","937",773.0780029300,348005,7396515
"1","1507",0.4878912396,1.0968436479,"15","936",767.8980102500,346265,7398435
"1","1952",0.4970094434,0.0835849142,"19","951",764.1090087900,346525,7397605
"1","5620",0.4968834605,1.0590790083,"47","950",783.8699951200,348585,7395465
"1","373",0.4967793355,1.5439024354,"4","949",749.5620117200,345405,7398565
"1","5902",0.4955373400,0.3976817563,"48","948",774.5650024400,348485,7396715
"1","6940",0.4954832809,0.2535192425,"57","947",789.4400024400,348865,7396485
"1","4084",0.4944031513,0.3504328587,"36","946",768.9149780300,347795,7397845
"1","5346",0.4940085173,0.5170615309,"46","945",774.0349731400,348285,7397405
"1","3578",0.4925501582,0.3948119135,"31","944",763.8950195300,347575,7398115
"1","6790",0.5005631346,1.0317003469,"56","959",793.6350097700,349005,7396335
"1","1279",0.5001104232,2.6329944761,"13","958",759.2860107400,346035,7397895
"1","6227",0.4996739989,0.3570789707,"52","957",783.2249755900,348315,7396095
"1","868",0.4992683475,2.5705112627,"9","956",758.1539917000,345725,7397955
"1","1030",0.4990971137,0.0956047741,"10","955",756.4819946300,346005,7398295
"1","3262",0.4985629237,1.5971218982,"30","954",766.8649902300,347405,7397465
"1","2182",0.4981033613,2.8487400045,"20","953",765.6090087900,346675,7398335
"1","2622",0.4973078871,1.6791216062,"24","952",768.8699951200,347025,7397755
"1","2422",0.4688645762,1.0618024763,"23","903",761.8720092800,346955,7398365
"1","1694",0.4681917231,0.1273183487,"16","902",759.3809814500,346465,7398245
"1","6784",0.4677532397,1.0316962666,"56","901",793.9470214800,349025,7396335
"1","2178",0.4677286694,0.8370124953,"20","900",767.1859741200,346675,7398355
"1","99",0.4677220364,0.2526589640,"1","899",756.6300048800,345125,7398085
"1","3573",0.4676446723,0.7045067941,"31","898",764.2609863300,347585,7398125
"1","3021",0.4675731190,1.3183017890,"28","897",765.7479858400,347355,7398165
"1","4078",0.4675405070,0.1794496392,"36","896",770.1539917000,347815,7397845
"1","1276",0.4755959703,0.0406785395,"13","911",760.1090087900,346035,7397885
"1","1504",0.4751427901,2.6913226307,"15","910",767.9240112300,346265,7398445
"1","6610",0.4739091580,0.6924150701,"55","909",785.4890136700,348825,7395975
"1","4866",0.4738117844,0.5688608473,"43","908",772.6530151400,348005,7396505
"1","5343",0.4731582885,0.1667452447,"46","907",774.2890014600,348285,7397415
"1","3257",0.4730702612,0.2776855902,"30","906",769.0230102500,347405,7397445
"1","2619",0.4713831966,0.3473269675,"24","905",768.7199707000,347035,7397745
"1","5610",0.4709651147,0.1325743834,"47","904",783.9949951200,348565,7395445
"1","3574",0.4812397794,0.7349087492,"31","919",764.2969970700,347585,7398115
"1","374",0.4803219528,0.3450225929,"4","918",749.8469848600,345415,7398565
"1","5901",0.4803107112,0.3976838031,"48","917",775.3140258800,348495,7396715
"1","5611",0.4782345653,0.3392285542,"47","916",783.9260253900,348565,7395455
"1","6937",0.4776865984,0.7473915378,"57","915",789.9229736300,348865,7396495
"1","1942",0.4776855672,0.0835807633,"19","914",765.1190185500,346525,7397585
"1","102",0.4775863520,2.1458728535,"1","913",756.4530029300,345125,7398095
"1","642",0.4760719263,0.4164547754,"6","912",757.8200073200,345725,7398455
"1","3922",0.4833403319,0.8008688077,"34","927",773.1140136700,347635,7396865
"1","5614",0.4831234588,2.7741510142,"47","926",783.9329834000,348575,7395455
"1","2181",0.4829160264,1.0058382744,"20","925",765.9439697300,346675,7398345
"1","865",0.4824105620,0.3218541130,"9","924",759.7039794900,345725,7397945
"1","4083",0.4819886493,1.5051885773,"36","923",769.2910156200,347805,7397845
"1","6222",0.4817414305,2.0005042257,"52","922",782.7659912100,348315,7396085
"1","1029",0.4816837186,1.3387472586,"10","921",756.7949829100,346015,7398295
"1","3817",0.4813418342,1.8366479978,"33","920",776.1049804700,347615,7397055
"1","2433",0.5217446047,1.9183435922,"23","999",760.9780273400,346955,7398335
"1","648",0.5205229989,1.9863128708,"6","998",756.3350219700,345735,7398435
"1","3925",0.5203567686,2.2210805665,"34","997",772.9320068400,347645,7396875
"1","1282",0.5199459512,0.2075816746,"13","996",758.3629760700,346035,7397905
"1","869",0.5192425866,0.6317199934,"9","995",757.5549926800,345725,7397965
"1","4874",0.5180150231,0.3259235985,"43","994",772.7490234400,348025,7396515
"1","3584",0.5178511132,0.3151935199,"31","993",764.3309936500,347575,7398095
"1","109",0.5172969352,0.7087708715,"1","992",755.4260253900,345135,7398115
"1","110",0.5276205671,1.2209237614,"1","1007",755.1209716800,345145,7398115
"1","5203",0.5273131938,0.5823026570,"45","1006",769.4500122100,348135,7397565
"1","5909",0.5262046234,0.1534130919,"48","1005",773.2860107400,348465,7396715
"1","1957",0.5259952577,0.0835911411,"19","1004",763.7150268600,346525,7397635
"1","2630",0.5248543195,0.3613688847,"24","1003",766.5070190400,347025,7397775
"1","4091",0.5240260134,0.1124282282,"36","1002",768.3530273400,347785,7397835
"1","5630",0.5240124068,0.0713677063,"47","1001",783.4589843800,348605,7395485
"1","3029",0.5218833791,1.2425183626,"28","1000",764.1829834000,347335,7398155
"1","3585",0.5310945352,0.0738570222,"31","1015",763.3850097700,347565,7398095
